Distance [m],u [m/s],time [s],T [K],P [Pa],H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,C2H2,C2H3,C2H4,C2H5,C2H6,AR,N2,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
0.0,10.00534044766759,0.00039978649611393044,1000.5340447353497,101324.99999999558,6.090042150940775e-11,8.218413311568999e-15,6.605927616492499e-15,0.20403583147709517,9.061063401452515e-15,4.579999072721469e-05,1.1404726667517312e-09,8.860466638296983e-12,-8.331832715731238e-35,9.77782731676544e-27,2.21009272483047e-21,1.7649149778763635e-22,1.1617755296209979e-09,0.02854852738374336,4.83029505028736e-14,2.2900024846742374e-05,7.311432662823414e-24,4.697187055390334e-26,4.303360098722885e-16,3.531252083862956e-18,5.889821163295321e-14,0.0,0.7673469387514469,0.002563096585411092,5.001883449295948e-08,2.092245288895814e-10,1.9462905547349072e-05,8.693368242774309e-08,3.3671123756260125e-12,1.2354128329074437e-09,1.2354128329074439e-09,1.2354128329074439e-09,5.44635383199437e-10,0.9974172990928616
0.004,10.010750060328501,0.000799356955459586,1001.0750059568774,101325.00000000001,1.4622296101430463e-10,1.391091929393169e-14,1.1309986543311796e-14,0.20398942294621467,2.193781483408303e-14,9.22073085662256e-05,2.2863886866175958e-09,2.6335421663990043e-11,7.563390571416139e-33,2.0366584721431506e-26,9.20115573642891e-21,7.398348463140798e-22,2.3506068369102835e-09,0.0285253224936826,4.868139698588592e-14,4.61037243184787e-05,7.24142857483777e-23,4.876943546269069e-25,2.1987799685112347e-15,1.4512279618423564e-17,2.994549382128072e-13,0.0,0.7673469387172667,0.0025817819419370054,5.9049144921520635e-08,3.4946397961240865e-10,2.281019120230031e-05,8.748967492202558e-08,3.407223052018291e-12,1.2411223043162998e-09,1.2411223043163e-09,1.2411223043162996e-09,5.496232306180475e-10,0.9973952567019815
0.008,10.01623180557513,0.001198708735414756,1001.6231804226162,101324.99999999999,2.5742442021026256e-10,1.9752412059744118e-14,1.6118568601489086e-14,0.203942391468361,4.0027872262976595e-14,0.00013923754515756694,3.437921680602985e-09,5.218100199819845e-11,-7.893305782790272e-34,3.183277686538576e-26,2.1614866367265995e-20,1.7523057687599078e-21,3.5676349045726866e-09,0.02850180610369012,4.906742396021189e-14,6.961889448897217e-05,3.405158171096304e-22,2.126640422742745e-24,6.286499631759084e-15,3.354661534671684e-17,8.523017285090926e-13,0.0,0.7673469386721568,0.002600836016679528,6.724833125234007e-08,4.928364783322347e-10,2.5786797845633547e-05,8.805599103215684e-08,3.4483080825881716e-12,1.2469267485791154e-09,1.2469267485791154e-09,1.2469267485791152e-09,5.547179912921715e-10,0.9973732170891708
0.012,10.02178754999525,0.0015978391280762835,1002.1787547902868,101325.0,3.9606023361435883e-10,2.5769809110217986e-14,2.108763340819661e-14,0.20389472086594576,6.344487480430151e-14,0.0001869068775878942,4.595254293371356e-09,8.615546056750166e-11,1.1390655705289336e-35,4.4249886924510716e-26,4.014486753323588e-20,3.281136049245674e-21,4.8140211015220754e-09,0.028477970123408657,4.9461279649285954e-14,9.345362424315942e-05,1.1120437940261629e-21,6.3065222143056265e-24,1.375053699002388e-14,6.125826071211556e-17,1.8565305867047966e-12,0.0,0.7673469386152935,0.00262027040513949,7.490932392445806e-08,6.394483816455425e-10,2.8510944867185903e-05,8.863293985780318e-08,3.4904025567237586e-12,1.2528287560729313e-09,1.2528287560729313e-09,1.2528287560729313e-09,5.599232278020619e-10,0.9973510501461821
0.016,10.027419231548974,0.0019967453578483237,1002.7419228547503,101324.99999999999,5.637869039946728e-10,3.197103177703351e-14,2.6225635045532603e-14,0.20384639434120577,9.228125286376224e-14,0.00023523210305471124,5.7585774714917444e-09,1.2801915754898415e-10,1.1589605531768197e-32,5.769778048602672e-26,6.55387027004794e-20,5.398599368126586e-21,6.090939172491168e-09,0.02845380615234732,4.986322214341544e-14,0.00011761631256749034,2.9132309090771966e-21,1.4999207777035363e-23,2.5729933251673448e-14,9.832161917962629e-17,3.4603072203345683e-12,0.0,0.7673469385458156,0.0026400973610053997,8.220169484467277e-08,7.894109369453063e-10,3.1050954204614556e-05,8.922084838496248e-08,3.5335436509562596e-12,1.2588310902723827e-09,1.258831090272383e-09,1.258831090272383e-09,5.652426975897008e-10,0.9973286751273679
0.02,10.033128863572943,0.002395424578896167,1003.3128859484679,101324.99999999999,7.62369605706503e-10,3.836431117455107e-14,3.1540574208679175e-14,0.20379739444136835,1.2663578155476092e-13,0.00028423067369203646,6.928090903381005e-09,1.7753455147589513e-10,-3.8011753577606886e-33,7.226331598231338e-26,9.860231235168298e-20,8.18245712278553e-21,7.399575597247873e-09,0.028429305462464163,5.02735213630697e-14,0.000142115685965868,6.578203988139632e-21,3.0909482669204124e-23,4.345224367947394e-14,1.4546470552670763e-16,5.8215092813465524e-12,0.0,0.7673469384628269,0.0026603297656474386,8.923451383998382e-08,9.4284059074615e-10,3.345055053110243e-05,8.9820060350284e-08,3.577770588681852e-12,1.2649366635872004e-09,1.2649366635872006e-09,1.2649366635872006e-09,5.706803501481564e-10,0.9973060353171397
0.024,10.038918538856864,0.002793873872464933,1003.8918533491503,101325.0,9.936904635138575e-10,4.495836036608902e-14,3.7040922353451145e-14,0.2037477030231845,1.6661449386058172e-13,0.00033392073203581275,8.104003485498237e-09,2.344661888604347e-10,-6.984492279252206e-37,8.804102459038804e-26,1.4020442965734909e-19,1.1716382856375419e-20,8.741130141523218e-09,0.02840445898042716,5.069245976855549e-14,0.00016696081619646503,1.3344155663793878e-20,5.759316273812945e-23,6.824043835967036e-14,2.0347232741941012e-16,9.108390586270556e-12,0.0,0.7673469383653896,0.002680981135125212,9.608331307778432e-08,1.0998593094051792e-09,3.5739743769331807e-05,9.043093617980128e-08,3.623124692508509e-12,1.271148530913716e-09,1.2711485309137159e-09,1.271148530913716e-09,5.762403323451408e-10,0.9972830871134889
0.028,10.044790433965288,0.0031920902440555573,1004.4790427119312,101324.99999999999,1.2597575719201506e-09,5.1762408862320485e-14,4.273567235279206e-14,0.2036973012153099,2.1233116259270754e-13,0.0003843211486362761,9.286533829182832e-09,2.9858069355051183e-10,-6.274146476557274e-36,1.0513386122473224e-25,1.9128128002235497e-19,1.609041534266671e-20,1.011681648883797e-08,0.028379257268801916,5.1120333120181524e-14,0.00019216113908193162,2.496135807302357e-20,9.95912269777267e-23,1.015202140174358e-13,2.731894700477434e-16,1.3500272462902862e-11,0.0,0.7673469382525212,0.002702065643253753,1.0280340612795026e-07,1.2605949206887855e-09,3.7940217250098735e-05,9.105385345176998e-08,3.669649481013576e-12,1.2774698902880378e-09,1.2774698902880378e-09,1.2774698902880378e-09,5.819269974250208e-10,0.9972597946034361
0.032,10.050746813806706,0.0035900706204497843,1005.0746805262714,101324.99999999997,1.562714826706524e-09,5.878623885360393e-14,4.863437683641575e-14,0.20364616937852928,2.6390781195832593e-13,0.0004354515618277927,1.047591080185814e-08,3.6964675522844767e-10,-1.3502977078817874e-32,1.2365404142353063e-25,2.528416283144298e-19,2.1401445004107177e-20,1.1527862947984211e-08,0.02835369050615993,5.155745129172817e-14,0.00021772647439882468,4.381998017137283e-20,1.6258182678444517e-22,1.448277434478599e-13,3.5552490074608903e-16,1.9188263337570737e-11,0.0,0.7673469381231924,0.0027235981532683037,1.094371525235611e-07,1.425181478626506e-09,4.0068272290935896e-05,9.168920762742674e-08,3.7173907910384034e-12,1.283904086950567e-09,1.2839040869505671e-09,1.283904086950567e-09,5.877449161373424e-10,0.9972361265795248
0.036000000000000004,10.056790036493938,0.003987811846575291,1005.6790026019935,101324.99999999999,1.9048526525373725e-09,6.604022447490827e-14,5.4747189572293414e-14,0.2035942870634331,3.2147527002632247e-13,0.00048733242004514346,1.1672374107451043e-08,4.474351171408628e-10,2.968449886585617e-32,1.4372397097126105e-25,3.259722070979215e-19,2.775373693770847e-20,1.2975513246859322e-08,0.028327748465913148,5.2004139143656006e-14,0.00024366704704063466,7.309589520612659e-20,2.5355223802733938e-22,1.9981789153964463e-13,4.514550108495689e-16,2.6376007779166532e-11,0.0,0.7673469379763223,0.0027455942553411537,1.1601822526238947e-07,1.5937596548888084e-09,4.2136560305111415e-05,9.233741295359885e-08,3.766396918771493e-12,1.290454619394984e-09,1.290454619394984e-09,1.290454619394984e-09,5.936988894478604e-10,0.9972120547659273
