Distance [m],u [m/s],time [s],T [K],P [Pa],H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.004999936316552807,5.000063684258319e-06,1499.979139028048,101325.0,7.545773766674668e-07,1.9115589778927685e-08,6.12821627551957e-09,0.3999955569086856,1.7563256450671148e-08,1.2096711006974722e-06,2.94779121279523e-06,1.9532314661266254e-07,8.842900787609963e-24,5.368459330791242e-17,2.7346550718265384e-13,1.3756723402309996e-13,6.4481043749628555e-06,0.39999264418652514,1.2434499141695003e-09,1.5595510941833283e-11,5.02331241364916e-12,4.18797189242403e-07,2.904307466104187e-14,2.1998454656320284e-09,7.80251669151616e-09,9.106867006930184e-23,3.4989343082843657e-14,8.907916370465449e-17,5.954353449816946e-10,8.253080375406213e-11,4.016422665466276e-09,4.059833066645594e-21,4.044201500330392e-15,2.741228389562115e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999976587197868,1.0772781010023347e-17,4.5430104457285087e-14,1.2366121579466268e-16,2.249509003808832e-15
2.5000000000000002e-08,0.0049998773260967015,1.0000186361171469e-05,1499.9590410639846,101325.00000000001,1.656850114289375e-06,2.285478186670533e-08,9.9150045437564e-09,0.39999035160258284,3.508404851662039e-08,3.6265082995626235e-06,5.5230871828143095e-06,4.642821023516636e-07,2.329817789872306e-23,1.182435784607909e-16,1.2769293647627174e-12,6.066812967702835e-13,1.419642949685442e-05,0.39998320673202264,5.747807149309612e-09,8.845185450226868e-11,1.78285693658747e-11,1.3942289023587415e-06,1.4670106944716112e-13,5.624060291036025e-09,2.775744897106028e-08,1.2459764372460897e-21,2.4714388906820935e-13,1.0465135139785025e-15,3.553657200724149e-09,4.100726433055417e-10,2.3472176944101275e-08,5.1356649997123365e-20,5.043644457862824e-14,4.141708924627081e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999994457510647,1.2588694652521643e-16,5.418402080331388e-13,1.4188022349150926e-15,2.0330270452415685e-14
5.0000000000000004e-08,0.004999825310896022,1.5000361056378916e-05,1499.9403257009817,101324.99999999991,2.7329456829424635e-06,2.7254572080732855e-08,1.428056973195766e-08,0.3999842327417037,5.527476862950793e-08,7.434954943664166e-06,7.750318964238106e-06,7.477733658369536e-07,4.554664984896124e-23,1.93811101821876e-16,3.380909881753566e-12,1.5695398106556478e-12,2.3253637235578316e-05,0.3999714740748302,1.6447196046945773e-08,2.814603827685005e-10,4.191483743869418e-11,3.0659656562903984e-06,4.1427258133876524e-13,1.0303682600032198e-08,6.432788076730544e-08,7.507999204481802e-21,9.558683681078382e-13,5.4062839417908334e-15,1.1656549024451465e-08,1.1233314718938877e-09,7.562911258182912e-08,3.16549075180918e-19,2.8827597475210826e-13,2.770804971882822e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999990309571006,6.085856412121238e-16,2.7648734259406874e-12,7.275112626972881e-15,9.165027006934578e-14
7.500000000000001e-08,0.004999782679799208,2.000057838602573e-05,1499.923702859601,101324.99999999984,4.022860497780242e-06,3.266587481911718e-08,1.9332168282379355e-08,0.39997705845164366,7.746218968468317e-08,1.2773244137394797e-05,9.654462949022016e-06,1.0177176145361528e-06,7.895562386763065e-23,2.802959962428938e-16,6.9904411138799195e-12,3.191808091208556e-12,3.359060832629449e-05,0.3999572706488682,3.7382476320054704e-08,6.807735938642553e-10,8.159932297688428e-11,5.570867525938506e-06,8.967807548004443e-13,1.6227896877325004e-08,1.2194028055655266e-07,3.005674645679314e-20,2.7432851388175623e-12,1.8900188570400353e-14,2.880380697582639e-08,2.3773854868424053e-09,1.8436751331749276e-07,1.353994203233634e-18,1.1177187684657089e-12,1.2248973278174482e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999851979164296,1.9988625731710716e-15,9.546510449300291e-12,2.5375653573088267e-14,2.9592509571436203e-13
1.0000000000000001e-07,0.004999751866069638,2.5000826532270792e-05,1499.909921603854,101324.99999999999,5.566853604144045e-06,3.909503747271904e-08,2.504391485276917e-08,0.3999686989669114,1.0115672699873575e-07,1.9746038451172832e-05,1.1261894962906187e-05,1.2615634791787154e-06,1.27221329963057e-22,3.7735079045272847e-16,1.2521762416636554e-11,5.634194519886971e-12,4.513723175754956e-05,0.39994046163332336,7.387181350377632e-08,1.3965202392378555e-09,1.4199441076841824e-10,9.037188451147794e-06,1.6600268996794814e-12,2.3329539381997906e-08,2.0478309555151717e-07,9.362232105785433e-20,6.555782113278849e-12,5.225220544577437e-14,6.008569579630512e-08,4.337466630397129e-09,3.805295171607202e-07,4.584717684364644e-18,3.409741233416859e-12,4.18283218855002e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999791480091325,5.245957821594546e-15,2.6135705435869717e-11,7.013251783443122e-14,7.785734668192225e-13
1.2500000000000002e-07,0.004999735269796526,3.0001091276491424e-05,1499.8997429935462,101325.00000000001,7.4038872617637855e-06,4.65090717790494e-08,3.136924743922628e-08,0.3999590376689351,1.2602835942146308e-07,2.843541640761913e-05,1.260099284590972e-05,1.4746806728112494e-06,1.9432696346314155e-22,4.844920728725527e-16,2.0380621779011224e-11,9.04722844358055e-12,5.7795314531431565e-05,0.3999209420022605,1.326591288741793e-07,2.562288772132352e-09,2.289370848076864e-10,1.3580170449712801e-05,2.768358940886264e-12,3.149712501869838e-08,3.166479951735014e-07,2.4574419281166227e-19,1.3819471966633193e-11,1.232052204499886e-13,1.1179041002901745e-07,7.169904973717661e-09,7.018259226544938e-07,1.315001609700996e-17,8.816070529430296e-12,1.1951447053436573e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999722146016577,1.185157032354758e-14,6.116796258784021e-11,1.6544996796474794e-13,1.777529917158765e-12
1.5000000000000002e-07,0.004999735212657869,3.500135607785677e-05,1499.8939210268518,101325.00000000001,9.570645768033846e-06,5.4850342797662866e-08,3.8248886458536386e-08,0.39994797226161194,1.5182160958470317e-07,3.890600239641215e-05,1.370223575565576e-05,1.6566023121600577e-06,2.8437896882592774e-22,6.011690250251905e-16,3.093940391193067e-11,1.3564160558807511e-11,7.144630364964062e-05,0.399898631532168,2.2202706024691033e-07,4.333308940500295e-09,3.4886547456013824e-10,1.9299013645603472e-05,4.282592807214219e-12,4.0589593856654144e-08,4.608233703242811e-07,5.691901860317836e-19,2.6565961707801457e-11,2.5858167244329605e-13,1.9134293929839267e-07,1.1032637984889525e-08,1.192314159907211e-06,3.3260997291189957e-17,2.0171107532386088e-11,2.994290519586351e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999964474424644,2.4009583155597834e-14,1.2764837294715906e-10,3.4754379408819784e-13,3.650971542665849e-12
1.7500000000000002e-07,0.004999753903088956,4.000160218688115e-05,1499.8931882291633,101324.99999999984,1.2100926078566706e-05,6.404601111148475e-08,4.561502634868486e-08,0.3999354154891949,1.783207912745782e-07,5.120770022238857e-05,1.4597810952738576e-05,1.8091278096960374e-06,4.014597510324731e-22,7.268039045708055e-16,4.4515917604859745e-11,1.9294469648897212e-11,8.595680395735997e-05,0.3998734720045862,3.5186572769188425e-07,6.88342434397093e-09,5.086518387658791e-10,2.6275179360361207e-05,6.258679364137611e-12,5.045162210276902e-08,6.400421670069347e-07,1.197632178826041e-18,4.7563544707054716e-11,4.961468468120599e-13,3.071790632944311e-07,1.6066215717792593e-08,1.9014770447982842e-06,7.61593503188649e-17,4.197732092309048e-11,6.777981347462611e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999560209053477,4.472660268577863e-14,2.43835282921333e-10,6.674987433864969e-13,6.902971536239415e-12
2.0000000000000002e-07,0.004999793411365804,4.500180878405147e-05,1499.8982445137094,101325.0,1.5025376674537218e-05,7.40168583861316e-08,5.339508641205645e-08,0.39992129512784297,2.0534056711630125e-07,6.537777373176913e-05,1.532082751158896e-05,1.935314459155361e-06,5.4952197303106e-22,8.608185633644606e-16,6.135610899036004e-11,2.631921067239841e-11,0.00010118349544904634,0.3998454246254973,5.336932186873827e-07,1.0401080094384617e-08,7.154077766642961e-10,3.457194050122159e-05,8.747319342195986e-12,6.092798326775586e-08,8.564807898146622e-07,2.3344557040537135e-18,8.044796054566964e-11,8.860487073290337e-13,4.685633130145682e-07,2.2386024155943617e-08,2.8829638606605133e-06,1.607699558157934e-16,8.0955417306481e-11,1.4148029660212086e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999469592804356,7.790827095853181e-14,4.339109548627212e-10,1.1932506958102668e-12,1.2204074164324198e-11
2.2500000000000002e-07,0.004999855653849335,5.000195313436942e-05,1499.9097487000756,101324.99999999997,1.8371532242522903e-05,8.468476410403473e-08,6.151513715312316e-08,0.399905553220387,2.3272634412127378e-07,8.144295324628206e-05,1.590428608135498e-05,2.038890445972279e-06,7.323330119154505e-22,1.0026537981770842e-15,8.162242157912836e-11,3.468881622460385e-11,0.00011697798581388409,0.39981446698207723,7.806285553628935e-07,1.5084650093283755e-08,9.76280979063922e-10,4.4235014624744476e-05,1.1794474124358903e-11,7.187557184938332e-08,1.111800881132573e-06,4.274413452477013e-18,1.2984647259365003e-10,1.4916541042481813e-12,6.853646738339051e-07,3.007641239275939e-08,4.19308619168988e-06,3.170778680932156e-16,1.466324238307695e-10,2.763164069877004e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999374015865326,1.2839974704778603e-13,7.283437264899359e-10,2.010741460980717e-12,2.0404282662872983e-11
