Distance [m],u [m/s],time [s],T [K],P [Pa],H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,C2H2,C2H3,C2H4,C2H5,C2H6,AR,N2,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
0.0,10.02821899748956,0.0019943720819226977,1002.821899268403,101324.9999999921,8.597459231250272e-10,3.237536998274358e-14,2.6562126671269652e-14,0.2038395309701121,1.295172075310814e-13,0.00024209519242070703,5.8252728473161126e-09,1.9568589809156385e-10,2.399278778402931e-33,6.1181646829714e-26,7.60325494450951e-20,6.387789294605413e-21,6.431166866340156e-09,0.028450374140601378,4.9920523464741004e-14,0.00012104796791315445,2.476424756449028e-20,4.142125006446366e-23,6.689490699945979e-14,1.0980965235857142e-16,8.936681771028822e-12,0.0,0.7673469384078392,0.0026429234124489267,8.320636240256681e-08,8.108176921481099e-10,3.1396768222192046e-05,8.93045886380731e-08,3.539708869487364e-12,1.259685081477987e-09,1.259685081477987e-09,1.259685081477987e-09,5.660016513448529e-10,0.9973255021493561
0.02,10.058569989858917,0.003982726293322933,1005.856997485072,101325.0,2.629714310718143e-09,6.719107716567807e-14,5.5738473065372475e-14,0.20357900468131868,3.9168113021249544e-13,0.0005026141895311031,1.1827316392904745e-08,5.619447991861648e-10,-4.9488409436999276e-33,1.538379643414923e-25,3.7675857194993913e-19,3.2467093069935614e-20,1.3757938090726422e-08,0.028320106488458004,5.213632028467681e-14,0.0002513081829758588,3.1762345021704746e-19,5.084605065367859e-22,3.763722132027594e-13,5.081539032817284e-16,4.930959751560038e-11,0.0,0.7673469376305494,0.002752101762294522,1.1793256226636887e-07,1.6437190877600558e-09,4.273026614897764e-05,9.25290216996615e-08,3.7809409811332825e-12,1.292388287606669e-09,1.292388287606669e-09,1.292388287606669e-09,5.954624279606153e-10,0.9972049513902372
0.04,10.091391667805858,0.00596461349564064,1009.1391635164366,101324.99999999999,5.648138077579087e-09,1.0857772712140957e-13,9.10326957268266e-14,0.20329712817152773,8.069924522302007e-13,0.0007844824447802716,1.8041103922616638e-08,1.0745491496597468e-09,2.200927302537894e-37,2.9446339867094363e-25,1.0489474109071294e-18,9.219572849978982e-20,2.213562318403122e-08,0.028179162553305374,5.462462349023152e-14,0.0003922434829101281,1.8133623078956e-18,2.63355615738046e-21,1.1868598220739465e-12,1.3311579516413755e-15,1.5237071952759983e-10,0.0,0.7673469362934421,0.0028744800274348972,1.5201992078022958e-07,2.5903014570979815e-09,5.272940588281189e-05,9.611903331207471e-08,4.058312569976542e-12,1.3283981136067154e-09,1.3283981136067154e-09,1.3283981136067154e-09,6.288010593797824e-10,0.9970725352197656
0.06,10.127107982278334,0.007939510972294247,1012.7107921797549,101324.99999999996,1.0402375489371366e-08,1.5848663007319163e-13,1.3437765181720997e-13,0.20299022485398474,1.402372378889328e-12,0.0010913762903822385,2.4511770662515142e-08,1.7101157066222491e-09,-7.64390938265902e-32,5.0936827540617255e-25,2.307482088689648e-18,2.0599579792737156e-19,3.1735709736332e-08,0.02802570372484388,5.744448546909378e-14,0.00054569221240858,7.076950754625935e-18,9.342874835069897e-21,2.8737143147417515e-12,2.77123231728617e-15,3.6101097845355203e-10,0.0,0.7673469341927688,0.0030128951598385897,1.881360606033868e-07,3.676169989521392e-09,6.224968188334568e-05,1.0014971169547414e-07,4.380732658243489e-12,1.3683464115279503e-09,1.3683464115279505e-09,1.3683464115279503e-09,6.668945215634357e-10,0.9969245584204123
0.08,10.166261684413456,0.009906802452766697,1016.626158192563,101325.0,1.7612501539063246e-08,2.196627272790222e-13,1.8852118258376605e-13,0.2026535853859792,2.216178494885233e-12,0.0014280046705016443,3.12985953704131e-08,2.4460451524113807e-09,-6.918635458808336e-32,8.418096367436054e-25,4.46853541530576e-18,4.039505091541976e-19,4.2753833625082525e-08,0.027857374922140934,6.067441801792611e-14,0.0007140091285840754,2.2084233029327247e-17,2.679087597715094e-20,5.976998310971786e-12,5.099418845697977e-15,7.33405619166502e-10,0.0,0.7673469310397457,0.003171117582453021,2.281870720059676e-07,4.935541835234093e-09,7.172260647506048e-05,1.0471999689633589e-07,4.760351459349781e-12,1.4130558303469927e-09,1.4130558303469927e-09,1.4130558303469933e-09,7.109185557098787e-10,0.9967568170140053
0.1,10.20956345713107,0.011865750069281233,1020.956329255105,101325.0,2.8375017986511808e-08,2.960852252250771e-13,2.57507289862826e-13,0.20228103977656078,3.304126669981418e-12,0.0018005369454581709,3.848111756789697e-08,3.2604298933486238e-09,-3.2835008153738254e-34,1.3655969183660986e-24,8.003758517571638e-18,7.310431845569866e-19,5.542337386558715e-08,0.027671090598762247,6.44214952339397e-14,0.0009002793705716255,5.952120177877474e-17,6.713789142719173e-20,1.1270249535160183e-11,8.699850828797248e-15,1.347761017628976e-09,0.0,0.7673469264057456,0.0033542861159859146,2.741698714001282e-07,6.415327433192913e-09,8.145428519105234e-05,1.0996345204391984e-07,5.214197584233008e-12,1.463622191071692e-09,1.4636221910716919e-09,1.463622191071692e-09,7.624907838409051e-10,0.9965638638919913
0.12,10.257969540785659,0.013815453655403315,1025.7969284747994,101324.99999999997,4.4422161319769947e-08,3.9372687028439806e-13,3.475063363790217e-13,0.20186428097236567,4.749390661612679e-12,0.0022172791469306564,4.616890826000218e-08,4.131906715470229e-09,-4.620655409077382e-34,2.2125642582278804e-24,1.3634089615377459e-17,1.2562569186310308e-18,7.003877700246094e-08,0.027462696452105258,6.883628596616066e-14,0.0011086567099779085,1.4486722044944648e-16,1.5365565468687494e-19,1.9863962328782993e-11,1.4126613223052028e-14,2.3088019158546485e-09,0.0,0.7673469196226275,0.003569622407116478,3.2863615030241063e-07,8.181849278572899e-09,9.172544365777367e-05,1.1606578360044381e-07,5.766938371837949e-12,1.5215469193490419e-09,1.5215469193490419e-09,1.5215469193490419e-09,8.239076588255565e-10,0.996338193871519
0.14,10.312810498212782,0.015754789203503122,1031.2810105987664,101325.0,6.861835403826503e-08,5.219534985502122e-13,4.683680747526233e-13,0.2013917421771492,6.680841731824012e-12,0.002689796354168573,5.451795273408224e-08,5.0394085981924665e-09,-1.0470486770745073e-32,3.632008083151848e-24,2.2503183242233274e-17,2.0894511902872826e-18,8.699647634286124e-08,0.027226407930895213,7.413864564627575e-14,0.0013449249760557542,3.277663909081807e-16,3.3043959888088515e-19,3.337051648882928e-11,2.2204132274373084e-14,3.757244758768927e-09,0.0,0.7673469095911563,0.0038276654087634676,3.952357436500951e-07,1.0332489326015907e-08,0.00010284952730190055,1.2329477309459232e-07,6.455787893329406e-12,1.5889601034664001e-09,1.5889601034664001e-09,1.5889601034664001e-09,8.985575324731836e-10,0.9960689505294285
0.16,10.376018226282705,0.01768231087548135,1037.6017626036808,101325.00000000012,1.0598390234537668e-07,6.962963227173569e-13,6.367482408335091e-13,0.2008466163325185,9.308352576711573e-12,0.0032348925868256263,6.375985695115733e-08,5.9617199972574405e-09,-1.1735596965340542e-30,6.130843191008337e-24,3.652350523285708e-17,3.415146109778645e-18,1.0686973229394292e-07,0.02695381967615591,8.066522518481642e-14,0.0016174884945639372,7.040312074851202e-16,6.819339242355809e-19,5.418641687830781e-11,3.421823519974237e-14,5.8848069626919755e-09,0.0,0.767346894384974,0.004144546342923109,4.796379883054048e-07,1.3017225513538378e-08,0.00011523212219033254,1.3205473389397518e-07,7.339839194361048e-12,1.6690199259067854e-09,1.6690199259067854e-09,1.6690199259067854e-09,9.916891822518373e-10,0.9957395908192428
0.18,10.450559047681631,0.01959608409170276,1045.0558115810181,101325.0,1.6601880932843403e-07,9.444737432131162e-13,8.830243638939071e-13,0.20020307509427787,1.299746821773714e-11,0.003878390408391201,7.425823501425224e-08,6.876617066688669e-09,1.3384277445468771e-30,1.0842852908030965e-23,5.913496392621537e-17,5.566818972640682e-18,1.3055496410201161e-07,0.026632014360939517,8.896455898603211e-14,0.0019392630148930997,1.4608555449677607e-15,1.3754564892828065e-18,8.601941539464095e-11,5.231344867241843e-14,8.960347666397621e-09,0.0,0.767346870351538,0.004546545320301624,5.913897147064071e-07,1.6481909007161242e-08,0.0001294637199457841,1.4299400276216546e-07,8.519413369781065e-12,1.7666872493116397e-09,1.7666872493116397e-09,1.7666872493116397e-09,1.1119670952186528e-09,0.9953232336739705
